position_action,angle_action,gripper_position,gripper_angle,gripper_velocity,gripper_angular_velocity,target_position,target_angle,target_velocity,target_angular_velocity,closest_point,contact_force,rewards,finger1_angles,finger2_angles,finger3_angles,finger1_min_dists,finger2_min_dists,finger3_min_dists,num_contact_points,fingertip_num_contact_points,accumulated_contact_force,totalLateralFrictionForce,finger1_link1_world_angles,finger1_link2_world_angles,finger1_link3_world_angles
[-0.16335094  0.616946    0.85622287],[-0.18741035  0.47483075 -0.10820472],[-0.11562434  0.52947396  1.47761333],[-0.07575203  0.00163229  0.03993831],[-0.07840849  0.29613391  0.41098675],[-0.99094462  2.23943233 -0.52650338],[-0.12126003  0.71066445  1.45153832],[ 0.00239233 -0.04641374 -0.0012514 ],[-0.03474502  0.03822472  0.04698682],[ 0.00199306 -0.00201927  0.00779618],[ 0.         -0.03384989  0.00247608],0,2.908498184824797,[-5.89479601e-06 -4.19436614e-07  1.25234039e-04],[-5.27909153e-08 -6.59840063e-06  1.81110179e-04],[ 8.56549598e-05 -2.62915123e-06 -6.48740544e-06],[0.01846454 0.02509251 0.04567607],[0.01678414 0.02516055 0.0457883 ],[0.05331578 0.06973741 0.0817446 ],0,[0 0 0],0,[0 0 0],[1.56125151 0.59278427 1.60679722],[1.56125231 0.59265957 1.60679866],[1.56285898 0.07279714 1.61155244]
[-0.31928027  0.16421723 -0.22146207],[-0.06757677 -0.4091665  -0.09618986],[-0.11626291  0.52980238  1.47717047],[-0.07708417 -0.00655233  0.03801955],[-0.15325451  0.07882423 -0.10630188],[-0.24292308 -1.97527516 -0.46128637],[-0.10461955  0.72284752  1.45160449],[ 0.01012623  0.01161083 -0.00886779],[-0.02453301  0.03585194  0.04266371],[ 0.0043776  -0.0049947   0.02121522],[ 0.         -0.03374448  0.00250916],0,2.9078508826159357,[-5.36790074e-06 -4.04539463e-07  1.26215636e-04],[-5.27909153e-08 -6.24757132e-06  1.81919692e-04],[ 8.54521712e-05 -2.37337448e-06 -6.49352258e-06],[0.01906863 0.02607342 0.04677515],[0.01701525 0.02557243 0.04629805],[0.05266617 0.0689305  0.08085814],0,[0 0 0],0,[0 0 0],[1.57269801 0.59655509 1.61101623],[1.57269785 0.59642986 1.61101594],[1.57237416 0.07654952 1.61006853]
[-0.22791064  0.4434489   0.7212424 ],[-0.10044533  0.30697966 -0.05405939],[-0.11671872  0.5306893   1.4786129 ],[-0.07908928 -0.00041383  0.03693214],[-0.10939714  0.21285532  0.34619617],[-0.53608578  1.45417583 -0.26265377],[-0.12085533  0.72336179  1.45387852],[-0.01886344  0.00089848 -0.03698541],[-0.01303864  0.02309838  0.0418858 ],[ 0.00911754 -0.00261291 -0.01144889],[ 2.77555756e-17 -3.31301993e-02  2.53952490e-03],0,2.9061600849120484,[-5.57670831e-06 -4.42394163e-07  1.26774790e-04],[-5.27909153e-08 -6.81909194e-06  1.83131922e-04],[ 8.57951804e-05 -2.54025082e-06 -6.47226073e-06],[0.01771525 0.02481857 0.04557234],[0.01604919 0.02476892 0.04553709],[0.05318105 0.07003761 0.08179732],0,[0 0 0],0,[0 0 0],[1.56279613 0.5978662  1.60352595],[1.56279682 0.59773999 1.60352718],[1.56416378 0.07787361 1.60751318]
[-0.6868616   0.60623264 -0.06146646],[-0.06357402  0.49420035 -0.21440619],[-0.11809245  0.53190178  1.47849   ],[-0.08036497  0.00946743  0.03263813],[-0.32969353  0.29099163 -0.02950398],[-0.38845387  2.35942125 -1.02916825],[-0.11499184  0.69843084  1.42077279],[ 0.01282462 -0.02489127  0.01269543],[-0.01486108  0.03657955  0.03367202],[-0.00982142 -0.01664586 -0.00185743],[ 0.         -0.03221977  0.00252997],0,2.905285015319649,[-4.98082258e-06 -4.21420847e-07  1.27804517e-04],[-5.27909153e-08 -6.36276232e-06  1.83887456e-04],[ 8.55497519e-05 -2.22017481e-06 -6.48151568e-06],[0.01718665 0.02478881 0.04567134],[0.01626179 0.02546053 0.0463475 ],[0.05220887 0.06950821 0.08121491],0,[0 0 0],0,[0 0 0],[1.57022021 0.5998912  1.60661665],[1.57022026 0.59976443 1.60661674],[1.57031928 0.07988525 1.60690383]
[ 0.15456569 -0.94207174 -0.99872166],[ 0.15579319 -0.24592435  0.47942185],[-0.11778332  0.53001761  1.47649252],[-0.07728472  0.0045366   0.04222137],[ 0.07419156 -0.45219445 -0.47938648],[ 0.78301018 -1.15491033  2.29479647],[-0.11052116  0.70610178  1.46170747],[ 0.00902256 -0.00055873  0.02166303],[-0.02103755  0.03131717  0.05284502],[ 0.01701511 -0.02549808  0.00161071],[ 1.38777878e-17 -3.36098948e-02  2.50842151e-03],0,2.9057488151881654,[-4.42635974e-06 -4.01242855e-07  1.28769485e-04],[-5.27909153e-08 -5.92730936e-06  1.84577820e-04],[ 8.53240995e-05 -1.92061223e-06 -6.49046670e-06],[0.02009304 0.02699421 0.04766305],[0.018468   0.02725945 0.0479844 ],[0.05154698 0.06766819 0.07957911],0,[0 0 0],0,[0 0 0],[1.58220037 0.60114379 1.60909809],[1.58219937 0.60101599 1.60909633],[1.58023212 0.08116512 1.60341297]
[-0.57169443  0.09799087  0.68842816],[ 0.26127827 -0.12333602  0.11903179],[-0.1189267   0.53021359  1.47786939],[-0.072062    0.00206376  0.04459566],[-0.27441335  0.04703547  0.33044532],[ 1.27802145 -0.53852946  0.56569076],[-0.12872368  0.70482033  1.45100808],[ 0.01388857  0.01451036 -0.0254118 ],[-0.02245962  0.04570416  0.03807158],[-0.01953131 -0.00677256  0.00657776],[ 0.         -0.03353504  0.00231818],0,2.909047561048982,[-4.78672439e-06 -4.45581301e-07  1.29160832e-04],[-5.27909153e-08 -6.61902941e-06  1.85769857e-04],[ 8.57619054e-05 -2.14440584e-06 -6.46608620e-06],[0.01869955 0.02545472 0.04588312],[0.01684326 0.02556266 0.04602672],[0.05292436 0.06938485 0.08166001],0,[0 0 0],0,[0 0 0],[1.57621288 0.5980826  1.61528088],[1.57621241 0.59795383 1.61528003],[1.57528633 0.07808381 1.61258126]
[ 0.07133162 -0.37365246 -0.6215431 ],[-0.22181416  0.2245686  -0.12161136],[-0.11878404  0.52946627  1.47662628],[-0.07650088  0.00654974  0.04215362],[ 0.03423921 -0.17935321 -0.29834077],[-1.11100376  1.02942801 -0.58149987],[-0.11636075  0.74045748  1.43602693],[-0.00424843  0.00626632 -0.02010312],[-0.03673756  0.03920046  0.04501082],[0.00453465 0.00107388 0.0055457 ],[ 0.         -0.0344193   0.00254448],0,2.9071454446089273,[-4.21179917e-06 -4.23572203e-07  1.30171879e-04],[-5.27909153e-08 -6.14992747e-06  1.86462888e-04],[ 8.55310230e-05 -1.83689461e-06 -6.47592482e-06],[0.02070464 0.02713301 0.04773665],[0.01919682 0.02750203 0.04820301],[0.05178392 0.06747294 0.07944841],0,[0 0 0],0,[0 0 0],[1.57321702 0.5928638  1.61595754],[1.57321681 0.59273464 1.61595717],[1.57280926 0.07285978 1.61475154]
[-0.48696673  0.6727872  -0.10805959],[-0.49071336  0.218961   -0.15275604],[-0.11975797  0.53081185  1.47641015],[-0.08631989  0.01091406  0.03907744],[-0.23374407  0.3229377  -0.05186879],[-2.39706135  0.95088094 -0.71769929],[-0.11550169  0.73484093  1.47377086],[-0.01336864 -0.02689578 -0.00389233],[-0.02849469  0.02843068  0.04610126],[ 0.00353765 -0.00745031  0.00799959],[ 0.         -0.03329849  0.00280204],0,2.898324764233982,[-4.60330830e-06 -4.68574885e-07  1.30528453e-04],[-5.27909153e-08 -6.85194675e-06  1.87673538e-04],[ 8.59713810e-05 -2.18508883e-06 -6.45128387e-06],[0.02110012 0.02815131 0.0492336 ],[0.01994786 0.02885522 0.0500136 ],[0.05009887 0.0660605  0.07734286],0,[0 0 0],0,[0 0 0],[1.5786454  0.59729264 1.61657764],[1.57864471 0.59716248 1.6165764 ],[1.57730584 0.0773007  1.6126659 ]
[-0.18598902  0.48989987  0.87923455],[ 0.20943773 -0.09023911  0.00729239],[-0.12012995  0.53179169  1.47816861],[-0.08213066  0.00910898  0.0392195 ],[-0.08927475  0.23515181  0.42203242],[ 1.02154863 -0.39353722  0.02403027],[-0.13950363  0.71086174  1.44741452],[ 0.00394771 -0.00595647 -0.00697242],[-0.0077902   0.03007707  0.03684381],[ 0.00136083 -0.00788191 -0.00031223],[ 1.38777878e-17 -3.26048455e-02  2.60403137e-03],0,2.9014939835866724,[-4.68635988e-06 -4.90989261e-07  1.31075417e-04],[-5.27909153e-08 -7.15182371e-06  1.88785400e-04],[ 8.61958623e-05 -2.28573334e-06 -6.43839271e-06],[0.01898257 0.02626904 0.04720236],[0.01773493 0.02688633 0.04785265],[0.05135717 0.06805476 0.07963417],0,[0 0 0],0,[0 0 0],[1.58400297 0.60708897 1.61662203],[1.58400177 0.60695846 1.61661993],[1.58168429 0.08711963 1.61003501]
[-0.7513746  -0.14496052 -0.45558542],[ 0.05756664 -0.18188304  0.00125134],[-0.1216327   0.53150171  1.47725749],[-0.08097665  0.0054713   0.03924241],[-0.36065984 -0.06958111 -0.21868068],[ 0.31098428 -0.86150903  0.00347782],[-0.12263483  0.72400457  1.44495654],[-0.02636698  0.00435723 -0.0149522 ],[-0.03424324  0.02794571  0.04218668],[ 0.00400267 -0.00512345  0.00638261],[ 0.         -0.03296269  0.00259022],0,2.903157303947321,[-3.78146301e-06 -3.89127404e-07  1.31087872e-04],[-8.65023483e-08 -5.72328972e-06  1.87780377e-04],[ 8.60139618e-05 -1.82858667e-06 -6.67805634e-06],[0.02005631 0.02744753 0.04831012],[0.01860873 0.02779739 0.0486986 ],[0.0507312  0.06710035 0.07874967],0,[0 0 0],0,[0 0 0],[1.58177736 0.60291114 1.61545631],[1.58177637 0.60278007 1.61545456],[1.57987241 0.08293073 1.60998127]
[-0.7852423   0.4480065   0.44072986],[-0.5159021   0.42784095 -0.0920589 ],[-0.12320319  0.53239775  1.47813892],[-0.09128863  0.01401856  0.0373579 ],[-0.37691638  0.21504293  0.21155009],[-2.55149937  1.95506012 -0.42815748],[-0.11631722  0.71834034  1.45032203],[ 0.02133332  0.00088751 -0.00144061],[-0.04307988  0.03658364  0.04814003],[ 0.00180438 -0.00298591  0.0156695 ],[ 1.38777878e-17 -3.23013316e-02  2.88634094e-03],0,2.893130453049044,[-4.46770859e-06 -4.54281949e-07  1.31256920e-04],[-8.65023483e-08 -6.78252313e-06  1.89095108e-04],[ 8.66273353e-05 -2.61925730e-06 -6.64299315e-06],[0.01987719 0.02725208 0.0485889 ],[0.01896148 0.02820383 0.04959213],[0.0501579  0.06669145 0.07762297],0,[0 0 0],0,[0 0 0],[1.57735693 0.60177138 1.61296629],[1.57735634 0.6016403  1.61296525],[1.57622258 0.08177605 1.60969552]
[0.09886742 0.14009571 0.1955235 ],[ 0.45673716 -0.27225208  0.04517341],[-0.12300545  0.53267795  1.47852993],[-0.08214993  0.0085695   0.03823666],[0.04745634 0.06724583 0.09385113],[ 2.24100375 -1.2239573   0.18612859],[-0.12159431  0.71140772  1.46022201],[ 0.00539782 -0.01932097 -0.0179373 ],[-0.0158882   0.03032084  0.05027847],[-0.0010206   0.00446387 -0.00013599],[ 1.38777878e-17 -3.21814399e-02  2.57229006e-03],0,2.9015177595629886,[-4.56793731e-06 -4.76738481e-07  1.31783253e-04],[-8.65023483e-08 -7.08435764e-06  1.90194844e-04],[ 8.68619599e-05 -2.71885441e-06 -6.63012494e-06],[0.01885343 0.02650057 0.04744544],[0.01762047 0.02709064 0.04805689],[0.05094864 0.06784171 0.07941871],0,[0 0 0],0,[0 0 0],[1.58783701 0.61203259 1.61715946],[1.58783544 0.61190135 1.61715673],[1.58480295 0.09208697 1.60865649]
[0.28918874 0.34051704 0.42287326],[ 0.09083366 -0.04197943 -0.18989962],[-0.12242708  0.53335899  1.47937572],[-0.08033456  0.00773364  0.03443779],[0.13881055 0.16344813 0.20297948],[ 0.44267625 -0.1846453  -0.91527772],[-0.11921955  0.71489543  1.44821894],[ 0.0003343  -0.04735127  0.03029165],[-0.03231858  0.02390324  0.04788817],[-0.01580191  0.00388145  0.00396781],[ 0.         -0.03189222  0.002498  ],0,2.904468284109181,[-3.67819704e-06 -3.78131977e-07  1.31810799e-04],[-1.16170849e-07 -5.66968114e-06  1.89198757e-04],[ 8.66630975e-05 -2.17508353e-06 -6.94718131e-06],[0.01778388 0.02571232 0.04659229],[0.01668123 0.02626119 0.04714369],[0.05139562 0.06868063 0.08038534],0,[0 0 0],0,[0 0 0],[1.58112252 0.60293311 1.61410231],[1.58112159 0.60280134 1.61410065],[1.57933106 0.08294996 1.60895374]
[ 0.6984539  -0.27254218 -0.3309542 ],[-0.0837819  -0.5810098   0.17313445],[-0.12103017  0.53281391  1.47871387],[-0.08200435 -0.00388348  0.03791066],[ 0.33525789 -0.13082026 -0.15885808],[-0.29965299 -2.8007791   0.83424926],[-0.11867055  0.72329193  1.46370125],[ 0.00233182 -0.0085195  -0.00220864],[-0.00305181  0.0297576   0.04288896],[0.0240449  0.00297287 0.00657765],[ 0.         -0.03237917  0.00257093],0,2.9023000548308198,[-3.11177108e-06 -3.53992411e-07  1.32830922e-04],[-1.16170849e-07 -5.17769247e-06  1.89728439e-04],[ 8.64420139e-05 -1.87559673e-06 -6.95807925e-06],[0.01927841 0.02717359 0.04809494],[0.0173694  0.0268806  0.04780987],[0.05097974 0.06770506 0.0792706 ],0,[0 0 0],0,[0 0 0],[1.58009786 0.60112082 1.60970836],[1.58009702 0.60098901 1.60970687],[1.57849261 0.08113455 1.60507137]
[-0.6030042   0.6173115   0.89507985],[ 0.23596537 -0.04344213 -0.11036819],[-0.12223618  0.5340485   1.48050404],[-0.0772852  -0.00474714  0.03570126],[-0.28944209  0.29630932  0.42963812],[ 1.13944387 -0.16546118 -0.52536792],[-0.1385904   0.71688038  1.46218622],[ 0.03702863 -0.00771471  0.00260006],[-0.03749401  0.02006158  0.04991341],[-0.0161996  -0.01490509  0.00137218],[-1.38777878e-17 -3.15290547e-02  2.35832424e-03],0,2.9065583717851595,[-3.94682127e-06 -4.27175078e-07  1.32869683e-04],[-1.16170849e-07 -6.38471068e-06  1.91028670e-04],[ 8.72215644e-05 -2.29329655e-06 -6.91895879e-06],[0.01687261 0.02518803 0.04591119],[0.01502416 0.02484168 0.04556416],[0.05215499 0.0697557  0.08166315],0,[0 0 0],0,[0 0 0],[1.56600428 0.6027957  1.60520374],[1.56600471 0.60266287 1.60520452],[1.56683529 0.08279695 1.60759301]
[ 0.44064426 -0.3865987  -0.2710023 ],[0.37330532 0.05006361 0.118173  ],[-0.12135489  0.53327531  1.47996199],[-0.06981882 -0.00375477  0.03806849],[ 0.21150927 -0.18556739 -0.13008116],[1.78191483 0.30408525 0.57575095],[-0.15158486  0.70900363  1.44313657],[ 0.01288606 -0.0092302  -0.01042123],[-0.03226172  0.02484152  0.05543749],[-0.00127503 -0.00098726 -0.01147424],[-5.55111512e-17 -3.22562632e-02  2.16583200e-03],0,2.9128854044990713,[-3.42585560e-06 -4.04576099e-07  1.33815267e-04],[-1.16170849e-07 -5.91103514e-06  1.91658592e-04],[ 8.70199861e-05 -2.01771276e-06 -6.92925681e-06],[0.01731497 0.02525484 0.04563009],[0.0154298  0.02498039 0.04535497],[0.05247079 0.0697557  0.08219621],0,[0 0 0],0,[0 0 0],[1.56497917 0.59807427 1.60243551],[1.5649797  0.59794141 1.60243645],[1.56597422 0.07807687 1.60533479]
[-0.47331375  0.05021977 -0.6129571 ],[-0.16144484  0.03689122 -0.01024717],[-0.12230151  0.53337574  1.47873604],[-0.07304765 -0.00301728  0.03786236],[-0.22719066  0.02410546 -0.29421911],[-0.78107285  0.14745741 -0.0520963 ],[-0.13547844  0.72089207  1.46323717],[-0.01297472  0.0039787  -0.00288884],[-0.02959881  0.02788823  0.05634015],[-0.00193992  0.00106485  0.00385293],[ 0.         -0.03220931  0.00226843],0,2.9101424005598093,[-2.74899548e-06 -1.85124285e-07  1.33824270e-04],[-1.51433002e-07 -4.73049238e-06  1.90836433e-04],[ 8.68975391e-05 -1.61417021e-06 -7.15669171e-06],[0.01874729 0.02693097 0.047447  ],[0.01690631 0.02670946 0.04722483],[0.05104208 0.06802991 0.08023632],0,[0 0 0],0,[0 0 0],[1.56621028 0.59061114 1.60552387],[1.56621069 0.59047732 1.60552461],[1.56697764 0.07061166 1.60780829]
[-0.5876115   0.24174988  0.8319458 ],[-0.16430783  0.3063532  -0.01018327],[-0.12347674  0.53385925  1.48039997],[-0.07632773  0.00310946  0.03764874],[-0.28205356  0.1160398   0.3993338 ],[-0.84216511  1.43965352 -0.05123097],[-0.11180024  0.72591138  1.45896268],[-0.01637322  0.00679905 -0.00382247],[-0.01810259  0.02816126  0.04501646],[ 0.00264857 -0.00108966  0.00434173],[ 2.77555756e-17 -3.19630676e-02  2.36331898e-03],0,2.9070911311212715,[-3.32999667e-06 -2.36256688e-07  1.33919423e-04],[-1.51433002e-07 -5.55998044e-06  1.91886583e-04],[ 8.74592487e-05 -1.90661722e-06 -7.12927564e-06],[0.01760458 0.02552195 0.04618627],[0.01610847 0.02573718 0.046405  ],[0.05185802 0.06917837 0.08115205],0,[0 0 0],0,[0 0 0],[1.56708707 0.59384132 1.60579624],[1.56708741 0.59370749 1.60579684],[1.56771371 0.07384122 1.60764434]
[-0.03300339  0.38308036  0.64287066],[-0.13172477  0.30922723 -0.01121241],[-0.12354275  0.53462541  1.48168576],[-0.07895561  0.00929371  0.03741654],[-0.0158417   0.18387854  0.30857825],[-0.68593019  1.4595083  -0.05181761],[-0.12957394  0.70391548  1.43128514],[ 0.01434332  0.0160519  -0.01248854],[-0.02224459  0.01854651  0.05583121],[ 0.01462126 -0.00734531  0.01590056],[ 1.38777878e-17 -3.14140355e-02  2.41250832e-03],0,2.903866584937445,[-2.67187430e-06  2.62672895e-08  1.33914995e-04],[-1.72965608e-07 -4.44956353e-06  1.91112029e-04],[ 8.73447721e-05 -1.52529377e-06 -7.34761779e-06],[0.01651585 0.02436531 0.04518853],[0.01536833 0.02502982 0.0458524 ],[0.05225489 0.0699534  0.08176064],0,[0 0 0],0,[0 0 0],[1.57448449 0.59712689 1.60973208],[1.57448415 0.59699297 1.60973148],[1.57385536 0.07712612 1.60789403]
[-0.83049333 -0.7364093  -0.77761686],[ 0.16114736 -0.40609443  0.2557304 ],[-0.12520373  0.53315258  1.48013043],[-0.07574434  0.00116423  0.04251968],[-0.39863676 -0.35347646 -0.37325615],[ 0.8480444  -1.91872251  1.22071767],[-0.12459195  0.7301445   1.44529355],[ 0.01333224 -0.02733926  0.00211328],[-0.02971081  0.04057394  0.04230534],[ 0.00075269  0.00514169 -0.00343365],[-2.77555756e-17 -3.26646998e-02  2.38252669e-03],0,2.906098967794716,[-2.11813855e-06  5.15712771e-08  1.34925765e-04],[-1.72965608e-07 -3.95395628e-06  1.91461418e-04],[ 8.71336004e-05 -1.23585455e-06 -7.35908333e-06],[0.01878625 0.02623728 0.04683466],[0.01696376 0.02629077 0.04691344],[0.05182937 0.0685994  0.080604  ],0,[0 0 0],0,[0 0 0],[1.58198025 0.59973273 1.61373889],[1.58197923 0.59959883 1.61373708],[1.58005789 0.07975582 1.60816416]
[ 0.4942912   0.6996788  -0.37541044],[-0.09305876 -0.29327232 -0.13819581],[-0.12421515  0.53455198  1.47937965],[-0.07759289 -0.00470375  0.03976101],[ 0.23725973  0.3358458  -0.18019702],[-0.38535452 -1.42537057 -0.66286421],[-0.12823251  0.73294216  1.45193934],[-0.00067298 -0.00995263  0.01156441],[-0.03393923  0.01962079  0.02872087],[ 0.00976667 -0.00345704  0.00195834],[-1.38777878e-17 -3.15028100e-02  2.35620318e-03],0,2.9044982980535208,[-2.67039549e-06  3.09318182e-08  1.33990311e-04],[-1.72965608e-07 -4.26303021e-06  1.92151463e-04],[ 8.73604920e-05 -1.53015031e-06 -7.35053606e-06],[0.01895687 0.02749336 0.04823003],[0.01692725 0.02715017 0.04788615],[0.0503213  0.06744583 0.07933099],0,[0 0 0],0,[0 0 0],[1.57213223 0.59654321 1.61327974],[1.57213211 0.59640828 1.61327952],[1.57190474 0.07654151 1.612614  ]
[-0.5008538   0.13992548  0.69383335],[0.02164459 0.21109533 0.03370357],[-0.12521686  0.53483182  1.48076737],[-0.07715535 -0.00048198  0.0404361 ],[-0.24040985  0.06716421  0.33303997],[0.06430519 1.01661873 0.16229312],[-0.1323922   0.70516032  1.44776869],[ 0.02950145  0.00836123 -0.00396904],[-0.04219198  0.02173785  0.03491211],[ 0.00124978 -0.01190239  0.00602747],[ 0.         -0.03140514  0.00233807],0,2.9046013127844392,[-3.17335135e-06  1.12827035e-08  1.33132951e-04],[-1.72965608e-07 -4.54953507e-06  1.92887567e-04],[ 8.75655330e-05 -1.79206552e-06 -7.34235522e-06],[0.01784391 0.02614583 0.04682728],[0.01602013 0.02610661 0.04678734],[0.05127292 0.06871959 0.08061864],0,[0 0 0],0,[0 0 0],[1.56503018 0.59838039 1.60652255],[1.56503071 0.5982464  1.60652349],[1.56601739 0.0783846  1.60939646]
[-0.20605594 -0.52537477 -0.5268153 ],[ 0.4357581  -0.00981432  0.15523946],[-0.12562896  0.53378105  1.47971368],[-0.06844227 -0.0006918   0.04354001],[-0.09890682 -0.25217989 -0.25287139],[2.09141064 0.03746486 0.74616045],[-0.12161191  0.72494888  1.42838442],[ 0.00361714  0.016499   -0.02160074],[-0.04474386  0.0378171   0.03644401],[-0.00113742  0.00431903 -0.0156636 ],[ 0.         -0.03235296  0.00211789],0,2.9114791964850184,[-2.68482064e-06  3.25632431e-08  1.34016747e-04],[-1.72965608e-07 -4.12072849e-06  1.93304246e-04],[ 8.73761979e-05 -1.53425300e-06 -7.35197578e-06],[0.0187726  0.02665001 0.04693621],[0.01681825 0.02659564 0.0468817 ],[0.05138875 0.06831845 0.08084485],0,[0 0 0],0,[0 0 0],[1.57014035 0.59795434 1.61007646],[1.57014041 0.59782121 1.61007657],[1.57025252 0.07795127 1.6104034 ]
[ 0.4951539   0.45152652 -0.9651922 ],[-0.4629439   0.3704903  -0.10927135],[-0.12463866  0.53468412  1.47778332],[-0.07770038  0.00670779  0.04132047],[ 0.23767379  0.2167327  -0.46329191],[-2.29527068  1.68004143 -0.52600062],[-0.12567925  0.72587723  1.44830441],[ 0.02523899 -0.01193681 -0.01214432],[-0.03908988  0.0425211   0.05277237],[-0.00304035  0.00650253  0.015019  ],[-1.38777878e-17 -3.15114641e-02  2.36941406e-03],0,2.9035696608235244,[-2.15345650e-06  4.01448434e-07  1.33972100e-04],[-1.69265983e-07 -3.29787817e-06  1.92731837e-04],[ 8.73028689e-05 -1.22740240e-06 -7.51643122e-06],[0.02068762 0.0292522  0.05000455],[0.01922311 0.02972122 0.0504823 ],[0.04846283 0.06523632 0.07712611],0,[0 0 0],0,[0 0 0],[1.56990006 0.5892405  1.61305108],[1.56990014 0.58910648 1.61305122],[1.57004942 0.06923801 1.61349749]
[-0.03703707  0.17884004  0.30481672],[ 0.1777085  -0.49133694 -0.15779853],[-0.12471274  0.53504181  1.47839296],[-0.07411492 -0.00311313  0.03814544],[-0.01777783  0.08584319  0.14631201],[ 0.95346057 -2.32097745 -0.76354659],[-0.12485463  0.71339637  1.45259559],[ 0.00754919 -0.01427912 -0.01773932],[-0.02299209  0.03521665  0.04700156],[-0.0163069  -0.00071492  0.01121237],[-1.38777878e-17 -3.15335949e-02  2.25387701e-03],0,2.9083938050799616,[-2.73524352e-06  3.78345367e-07  1.32971449e-04],[-1.69265983e-07 -3.65632498e-06  1.93376303e-04],[ 8.75382330e-05 -1.53111893e-06 -7.50667575e-06],[0.01999372 0.02890952 0.04947488],[0.01813256 0.02868105 0.04924568],[0.04907419 0.06604093 0.07817096],0,[0 0 0],0,[0 0 0],[1.57884196 0.59848865 1.61586306],[1.57884122 0.59835468 1.61586175],[1.57746404 0.07850022 1.61185301]
[ 0.17472887 -0.07513809 -0.09759754],[-0.17647308  0.04711533 -0.09242392],[-0.12436328  0.53489149  1.47819769],[-0.07764559 -0.00217412  0.03629527],[ 0.08386977 -0.03606632 -0.04684649],[-0.85515827  0.19367613 -0.44627976],[-0.12241963  0.72274673  1.45184803],[-0.014658   -0.01823696 -0.01767532],[-0.02216977  0.0403327   0.03478255],[ 0.00917135 -0.00325003  0.00167295],[ 1.38777878e-17 -3.18742877e-02  2.39674945e-03],0,2.9064364525960857,[-2.19284441e-06  7.65918976e-07  1.32922546e-04],[-1.47181276e-07 -2.92635252e-06  1.92866749e-04],[ 8.74647432e-05 -1.22489515e-06 -7.66660599e-06],[0.02076969 0.02957419 0.05029206],[0.01903734 0.02941316 0.0501303 ],[0.04863818 0.06531729 0.07719009],0,[0 0 0],0,[0 0 0],[1.56696764 0.59490773 1.60600917],[1.56696798 0.59477476 1.60600979],[1.56761649 0.0749084  1.60791692]
[-0.6701537   0.51717806  0.27236152],[-0.2000882   0.08316791 -0.1587292 ],[-0.12570359  0.53592587  1.47874248],[-0.08165147 -0.00051721  0.03311732],[-0.32167357  0.24824542  0.130733  ],[-0.97463042  0.36405656 -0.76400048],[-0.11540719  0.71238548  1.43730772],[0.02030996 0.02035781 0.03935543],[-0.03201447  0.05106337  0.02716156],[ 0.00516055 -0.00648741  0.01343229],[ 0.         -0.03115248  0.00247683],0,2.9033648479004794,[-1.75928667e-06 -8.55451614e-07  1.33376367e-04],[-1.24831292e-07 -2.34177041e-06  1.92370585e-04],[ 8.71642129e-05 -9.79916116e-07 -7.84761728e-06],[0.02023565 0.0295188  0.05040448],[0.01873184 0.02947686 0.05036174],[0.04821433 0.0652924  0.07686812],0,[0 0 0],0,[0 0 0],[1.56809161 0.59843991 1.60478123],[1.56809186 0.59830699 1.60478166],[1.56855476 0.07843999 1.60612929]
[ 0.11289513 -0.8615018  -0.68787766],[ 0.38832211 -0.49155748  0.44263315],[-0.12547779  0.53420287  1.47736669],[-0.07392167 -0.01038243  0.04193177],[ 0.05418957 -0.41352087 -0.33018091],[ 1.94265914 -2.29638457  2.1255517 ],[-0.13242795  0.7113536   1.45524693],[0.00902459 0.02721363 0.03271301],[-0.01970922  0.03562207  0.04163444],[-0.0036353   0.00034394  0.00288925],[ 0.         -0.03251784  0.00229991],0,2.9071895710677786,[-1.41022641e-06 -2.78381848e-07  1.33261065e-04],[-1.08134149e-07 -1.87430170e-06  1.92057938e-04],[ 8.71590050e-05 -7.83932893e-07 -7.93653146e-06],[0.0221895  0.03070119 0.05127753],[0.0197523  0.02994124 0.05052499],[0.04839757 0.06439157 0.07655141],0,[0 0 0],0,[0 0 0],[1.57009128 0.60244987 1.60272772],[1.57009134 0.60231649 1.60272783],[1.57021342 0.08244736 1.60307924]
[-0.02526271 -0.22517067  0.5526302 ],[-0.08456546  0.1424377   0.18267512],[-0.12552832  0.5337525   1.47847199],[-0.07560924 -0.0075309   0.0455833 ],[-0.01212618 -0.1080821   0.26526228],[-0.43455169  0.66599673  0.872738  ],[-0.13034284  0.70535678  1.44238079],[-0.01459362 -0.00629689 -0.00848351],[-0.02658881  0.0501685   0.03046491],[-0.00748496  0.00371418  0.00078249],[ 1.38777878e-17 -3.29748351e-02  2.38183175e-03],0,2.9046844132059566,[-2.37824601e-06 -3.57383147e-07  1.33025853e-04],[-1.08134149e-07 -3.22392729e-06  1.92984576e-04],[ 8.79764489e-05 -1.31117898e-06 -7.89470949e-06],[0.02202215 0.02987115 0.05050845],[0.01957702 0.02930214 0.04996107],[0.04932222 0.0651654  0.0772018 ],0,[0 0 0],0,[0 0 0],[1.55819249 0.59467462 1.60487977],[1.55819362 0.59454137 1.60488179],[1.56032706 0.07470572 1.61115977]
